id,city_name,country,venue_name,region_cluster,airport_code,capacity,altitude_m,opened_year,roof,lat,lng
1,Atlanta,USA,Mercedes-Benz Stadium,East,ATL,75000,320,2017,retractable,33.755,-84.401
2,Boston,USA,Gillette Stadium,East,BOS,63815,43,2002,open,42.091,-71.264
3,Dallas,USA,AT&T Stadium,Central,DAL,70122,180,2009,retractable,32.747,-97.093
4,Houston,USA,NRG Stadium,Central,IAH,68311,15,2002,retractable,29.685,-95.411
5,Kansas City,USA,Arrowhead Stadium,Central,MCI,67513,270,1972,open,39.049,-94.484
6,Los Angeles,USA,SoFi Stadium,West,LAX,70000,30,2020,fixed,33.953,-118.339
7,Miami,USA,Hard Rock Stadium,East,MIA,65000,2,1987,open,25.958,-80.239
8,New York/New Jersey,USA,MetLife Stadium,East,EWR,82500,5,2010,open,40.814,-74.074
9,Philadelphia,USA,Lincoln Financial Field,East,PHL,69000,12,2003,open,39.901,-75.168
10,San Francisco Bay Area,USA,Levi's Stadium,West,SFO,71000,5,2014,open,37.403,-121.970
11,Seattle,USA,Lumen Field,West,SEA,69000,5,2002,open,47.595,-122.332
12,Toronto,Canada,BMO Field,East,YYZ,45000,95,2007,open,43.633,-79.418
13,Vancouver,Canada,BC Place,West,YVR,54000,3,1983,retractable,49.277,-123.112
14,Guadalajara,Mexico,Estadio Akron,Central,GDL,44330,1566,2010,open,20.681,-103.462
15,Mexico City,Mexico,Estadio Azteca,Central,MEX,83000,2240,1966,open,19.303,-99.150
16,Monterrey,Mexico,Estadio BBVA,Central,MTY,50113,500,2015,open,25.669,-100.244
