id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,home_score,away_score,status,result_note
1,1,1,2,15,1,2026-06-11 15:00:00-06,Group A,2,0,final,
2,2,3,4,14,1,2026-06-11 22:00:00-06,Group A,2,1,final,
3,3,5,6,12,1,2026-06-12 15:00:00-04,Group B,1,1,final,
4,4,13,14,6,1,2026-06-12 21:00:00-07,Group D,4,1,final,
5,5,7,8,10,1,2026-06-13 15:00:00-07,Group B,1,1,final,
6,6,9,10,8,1,2026-06-13 18:00:00-04,Group C,1,1,final,
7,7,11,12,2,1,2026-06-13 21:00:00-04,Group C,0,1,final,
8,8,15,16,13,1,2026-06-14 00:00:00-07,Group D,2,0,final,
9,9,17,18,4,1,2026-06-14 13:00:00-05,Group E,7,1,final,
10,10,21,22,3,1,2026-06-14 16:00:00-05,Group F,2,2,final,
11,11,19,20,9,1,2026-06-14 19:00:00-04,Group E,1,0,final,
12,12,23,24,16,1,2026-06-14 22:00:00-06,Group F,5,1,final,
13,13,29,30,1,1,2026-06-15 12:00:00-04,Group H,0,0,final,
14,14,25,26,11,1,2026-06-15 15:00:00-07,Group G,1,1,final,
15,15,31,32,7,1,2026-06-15 18:00:00-04,Group H,1,1,final,
16,16,27,28,6,1,2026-06-15 21:00:00-07,Group G,2,2,final,
17,17,33,34,8,1,2026-06-16 15:00:00-04,Group I,3,1,final,
18,18,35,36,2,1,2026-06-16 18:00:00-04,Group I,1,4,final,
19,19,37,38,5,1,2026-06-16 21:00:00-05,Group J,3,0,final,
20,20,39,40,10,1,2026-06-17 00:00:00-07,Group J,3,1,final,
21,21,41,42,4,1,2026-06-17 13:00:00-05,Group K,1,1,final,
22,22,45,46,3,1,2026-06-17 16:00:00-05,Group L,4,2,final,
23,23,47,48,12,1,2026-06-17 19:00:00-04,Group L,1,0,final,
24,24,43,44,15,1,2026-06-17 22:00:00-06,Group K,1,3,final,
25,25,4,2,1,1,2026-06-18 12:00:00-04,Group A,1,1,final,
26,26,8,6,6,1,2026-06-18 15:00:00-07,Group B,4,1,final,
27,27,5,7,13,1,2026-06-18 18:00:00-07,Group B,6,0,final,
28,28,1,3,14,1,2026-06-18 21:00:00-06,Group A,1,0,final,
29,29,13,15,11,1,2026-06-19 15:00:00-07,Group D,2,0,final,
30,30,12,10,2,1,2026-06-19 18:00:00-04,Group C,0,1,final,
